"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2","DATA_FOR"
"60017","2020-02-01 13:41:22","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151027","DFK1403228026000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151027"
"60017","2020-02-01 13:41:26","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151056","DFK1403228025000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151056"
"60017","2020-02-01 13:41:29","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151057","DFK1403228024000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151057"
"60017","2020-02-01 13:41:31","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151046","DFK1403228023000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151046"
"60017","2020-02-01 13:41:33","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151048","DFK1403228022000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151048"
"60017","2020-02-01 13:41:35","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151049","DFK1403228021000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151049"
"60017","2020-02-01 13:41:40","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151053","DFK1403228040000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151053"
"60017","2020-02-01 13:41:42","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151043","DFK1403228039000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151043"
"60017","2020-02-01 13:41:45","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151047","DFK1403228038000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151047"
"60017","2020-02-01 13:41:47","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151045","DFK1403228037000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151045"
