"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2"
"60012","2019-11-04 14:06:22","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151030","FKJO402888012000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:24","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151032","FKJO402888013000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:26","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151017","FKJO402888014000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:28","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151020","FKJO402888015000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:32","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151027","FKJO402888016000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:34","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151029","FKJO402888017000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:36","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151031","FKJO402888018000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:39","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151018","FKJO402888019000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:06:41","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151019","FKJO402888020000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:07:06","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151010","FKJO403033001000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:07:08","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151004","FKJO403033002000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:07:10","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151007","FKJO403033003000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:07:13","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151006","FKJO403033004000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:07:15","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151008","FKJO403033005000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:07:30","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151026","FKJO403033006000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:07:41","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151016","FKJO403033007000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
