"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2"
"60016","2020-01-22 01:45:55","898243-2260","GAK1M08820200117001898243-2260              20200117    15JA178982432260               2020011700151020","DDK1402128009000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:46:04","898243-2260","GAK1M08820200117001898243-2260              20200117    15JA178982432260               2020011700151014","DDK1402128001000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:46:30","898243-2260","GAK1M08820200117001898243-2260              20200117    15JA178982432260               2020011700151011","DDK1402128002000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:46:33","898243-2260","GAK1M08820200117001898243-2260              20200117    15JA178982432260               2020011700151010","DDK1402128003000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:46:48","898243-2260","GAK1M08820200117001898243-2260              20200117    15JA178982432260               2020011700151009","FYK1403977003000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:46:51","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151016","FYK1403977004000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:46:55","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151015","FYK1403977002000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:46:57","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151014","FYK1403977001000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:47:07","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151017","DDK1401895001000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:47:09","898243-2260","GAK1M08820200117901898243-2260              20200117    15JA178982432260               2020011790151013","DDK1401895002000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:47:16","898243-2260","GEK1M088           898243-2260              20200118    13JA18898243-2260                      90151961","DDK1401895004000013000013202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:47:26","898243-2260","GEK1M088           898243-2260              20200118    13JA18898243-2260                      90151961","DDK1401895003000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:47:41","1300A126","GEK1A023           1300A126                 20200115     2JA151300A126G                        00151994","1300A126G"
"60016","2020-01-22 01:47:45","1300A126","GAK1A023202001150011300A126                 20200115     4JA151300A126G                2020011500151034","1300A126G"
"60016","2020-01-22 01:47:48","1300A126","GAK1A023202001150011300A126                 20200115     4JA151300A126G                2020011500151063","1300A126G"
"60016","2020-01-22 01:47:56","1300A126","GAK1A023202001150011300A126                 20200115     4JA151300A126G                2020011500151062","1300A126G"
"60016","2020-01-22 01:48:02","1300A126","GAK1A023202001150011300A126                 20200115     4JA151300A126G                2020011500151062","1300A126G"
"60016","2020-01-22 01:48:08","1300A126","GAK1A023202001150011300A126                 20200115     4JA151300A126G                2020011500151062","1300A126G"
"60016","2020-01-22 01:48:18","1300A126","GAK1A023202001150011300A126                 20200115     4JA151300A126G                2020011500151064","1300A126G"
"60016","2020-01-22 01:48:23","1300A126","GAK1A023202001150011300A126                 20200115     4JA151300A126G                2020011500151036","1300A126G"
"60016","2020-01-22 01:48:30","1060A217","GAK1A024202001179011060A217                 20200117     2JA171060A217G                2020011790151091","1060A217G"
"60016","2020-01-22 01:48:32","1060A217","GAK1A024202001179011060A217                 20200117     2JA171060A217G                2020011790151092","1060A217G"
"60016","2020-01-22 01:48:35","1060A217","GAK1A024202001179011060A217                 20200117     2JA171060A217G                2020011790151087","1060A217G"
"60016","2020-01-22 01:48:39","1060A217","GAK1A024202001179011060A217                 20200117     2JA171060A217G                2020011790151097","1060A217G"
"60016","2020-01-22 01:48:55","1060A217","GAK1A024202001179011060A217                 20200117     2JA171060A217G                2020011790151097","1060A217G"
"60016","2020-01-22 01:49:01","1060A217","GAK1A024202001179011060A217                 20200117     2JA171060A217G                2020011790151099","1060A217G"
"60016","2020-01-22 01:49:27","1060A217","GAK1A024202001170011060A217                 20200117     2JA171060A217G                2020011700151149","1060A217G"
"60016","2020-01-22 01:49:32","1060A217","GAK1A024202001179011060A217                 20200117     2JA171060A217G                2020011790151084","1060A217G"
"60016","2020-01-22 01:49:50","1132A100","GEK1M076           1132A100                 20200114     6JA141132A100G                        90151992","1132A100G"
"60016","2020-01-22 01:49:56","1132A100","GEK1M076           1132A100                 20200114     6JA141132A100G                        90151992","1132A100G"
"60016","2020-01-22 01:50:03","1132A100","GAK1M076202001149011132A100                 20200114    12JA141132A100G                2020011490151022","1132A100G"
"60016","2020-01-22 01:50:23","1320A047","GAK1A003202001180011320A047                 20200118    10JA181320A047G                2020011800151032","1320A047G"
"60016","2020-01-22 01:50:34","1320A047","GAK1A003202001180011320A047                 20200118    10JA181320A047G                2020011800151032","1320A047G"
"60016","2020-01-22 01:50:40","1320A047","GAK1A003202001180011320A047                 20200118    10JA181320A047G                2020011800151032","1320A047G"
"60016","2020-01-22 01:52:20","1050B375-LP","GAK1PL01202001200041050B375-LP              20200120     6JA201050B375G                2020012000151002","GAK1PL01202001200031050B375-LP              20200120    24JA201050B375G                2020012000351003"
"60011","2020-01-22 08:15:49","1320A064","GAK1A009202001070011320A064                 20200107    10JA071320A064G                2020010700151045","1320A064"
"60011","2020-01-22 08:16:47","1320A064","GAK1A009202001070011320A064                 20200107    10JA071320A064G                2020010700151043","1320A064"
"60011","2020-01-22 08:40:11","897948-3450","GAK1B09320200113006897948-3450              20200113     4JA13                         2020011300651003","8979483450"
"60011","2020-01-22 08:41:01","897948-3260","GAK1B09320200116001897948-3260              20200116     4JA16                         2020011600151004","8979483260"
"60011","2020-01-22 08:41:08","897948-3260","GAK1B09320200116001897948-3260              20200116     4JA16                         2020011600151005","8979483260"
"60011","2020-01-22 08:41:13","897948-3440","GAK1B09320200113005897948-3440              20200113     4JA13                         2020011300551003","8979483440"
"60011","2020-01-22 08:41:28","897948-3440","GAK1B09320200113005897948-3440              20200113     4JA13                         2020011300551004","8979483440"
"60011","2020-01-22 08:41:32","897948-3260","GAK1B09320200116001897948-3260              20200116     4JA16                         2020011600151005","8979483260"
"60011","2020-01-22 08:41:40","898315-6983","GAK1B09320200114003898315-6983              20200114     4JA14                         2020011400351003","G68983156983"
"60011","2020-01-22 08:41:46","898315-6983","GEK1B093           898315-6983              20200114     2JA14                         2020011400351998","G68983156983"
"60011","2020-01-22 08:41:51","897948-3440","GAK1B09320200113005897948-3440              20200113     4JA13                         2020011300551002","8979483440"
"60011","2020-01-22 08:41:59","897948-3450","GAK1B09320200113006897948-3450              20200113     4JA13                         2020011300651003","8979483450"
"60011","2020-01-22 08:42:06","897948-3270","GAK1B09320200116002897948-3270              20200116     4JA16                         2020011600251001","8979483270"
"60011","2020-01-22 08:42:10","897948-3260","GAK1B09320200116001897948-3260              20200116     4JA16                         2020011600151006","8979483260"
"60011","2020-01-22 08:42:18","897948-3270","GAK1B09320200116002897948-3270              20200116     4JA16                         2020011600251004","8979483270"
"60011","2020-01-22 08:42:25","897948-3270","GAK1B09320200116002897948-3270              20200116     4JA16                         2020011600251003","8979483270"
"60011","2020-01-22 08:42:30","897948-3450","GAK1B09320200113006897948-3450              20200113     4JA13                         2020011300651002","8979483450"
"60011","2020-01-22 08:42:34","897948-3450","GAK1B09320200113006897948-3450              20200113     4JA13                         2020011300651001","8979483450"
"60011","2020-01-22 08:42:38","898315-6993","GAK1B09320200114004898315-6993              20200114     4JA14                         2020011400451002","G68983156993"
"60011","2020-01-22 08:42:45","898315-6993","GEK1B093           898315-6993              20200114     2JA14                         2020011400451999","G68983156993"
"60011","2020-01-22 08:42:51","897948-3360","GAK1B09320200113003897948-3360              20200113     4JA13                         2020011300351005","8979483360"
"60011","2020-01-22 08:42:54","897948-3360","GAK1B09320200113003897948-3360              20200113     4JA13                         2020011300351009","8979483360"
"60011","2020-01-22 08:43:02","897948-3370","GAK1B09320200113004897948-3370              20200113     4JA13                         2020011300451009","8979483370"
"60011","2020-01-22 08:43:06","897948-3360","GAK1B09320200113003897948-3360              20200113     4JA13                         2020011300351004","8979483360"
"60011","2020-01-22 08:43:12","897948-3370","GAK1B09320200113004897948-3370              20200113     4JA13                         2020011300451008","8979483370"
"60011","2020-01-22 08:43:16","897948-3370","GAK1B09320200113004897948-3370              20200113     4JA13                         2020011300451007","8979483370"
"60016","2020-01-22 13:54:41","1130A230","GAK1M120202001159011130A230                 20200115    12JA151130A230G                2020011590151003","1130A230"
