"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-03-19","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-03-19","2019-03-29","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-03-20","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-03-20","2019-03-29","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-03-20","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-03-20","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-03-20","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-03-20","2019-04-02","2019-04-03","00:00:00","2019/04/03","04","2","0"
"2019-03-21","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-03-21","2019-04-02","2019-04-03","00:00:00","2019/04/03","04","2","0"
"2019-03-21","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-03-21","2019-03-29","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-03-21","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-03-21","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-03-22","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-03-22","2019-03-29","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-03-22","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-03-22","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-03-22","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-03-22","2019-04-02","2019-04-03","00:00:00","2019/04/03","04","2","0"
"2019-03-23","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-03-22","2019-04-02","2019-04-03","00:00:00","2019/04/03","04","2","0"
"2019-03-23","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-03-22","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-03-23","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-03-22","2019-03-29","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-03-24","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-03-22","2019-04-02","2019-04-03","00:00:00","2019/04/03","04","2","0"
"2019-03-24","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-03-22","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-03-24","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-03-22","2019-03-29","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-03-25","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-03-25","2019-03-29","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-03-25","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-03-25","2019-04-02","2019-04-03","00:00:00","2019/04/03","04","2","0"
"2019-03-25","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-03-25","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-03-26","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-03-26","2019-04-02","2019-04-03","00:00:00","2019/04/03","04","2","0"
"2019-03-26","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-03-26","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-03-26","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-03-26","2019-03-29","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-03-27","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-03-27","2019-03-29","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-03-27","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-03-27","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-03-27","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-03-27","2019-04-02","2019-04-03","00:00:00","2019/04/03","04","2","0"
"2019-03-28","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-03-28","2019-03-29","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-03-28","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-03-28","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-03-28","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-03-28","2019-04-02","2019-04-03","00:00:00","2019/04/03","04","2","0"
"2019-03-29","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-03-29","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-03-29","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-03-29","2019-03-29","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-03-29","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-03-29","2019-04-02","2019-04-03","00:00:00","2019/04/03","04","2","0"
"2019-03-30","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-03-30","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-03-30","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-03-30","2019-04-01","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-03-30","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-03-30","2019-04-02","2019-04-03","00:00:00","2019/04/03","04","2","0"
"2019-03-31","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-03-30","2019-04-02","2019-04-03","00:00:00","2019/04/03","04","2","0"
"2019-03-31","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-03-30","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-03-31","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-03-30","2019-04-01","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-04-01","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-04-01","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-04-01","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-04-01","2019-04-01","2019-04-01","00:00:00","2019/04/01","04","2","0"
"2019-04-01","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-04-01","2019-04-02","2019-04-03","00:00:00","2019/04/03","04","2","0"
"2019-04-02","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-04-02","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-04-02","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-04-02","2019-04-03","2019-04-04","00:00:00","2019/04/01","04","2","0"
"2019-04-02","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-04-02","2019-04-03","2019-04-04","00:00:00","2019/04/03","04","2","0"
"2019-04-03","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209504","2019-04-03","2019-04-03","2019-04-04","00:00:00","2019/04/01","04","2","0"
"2019-04-03","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC209830","2019-04-03","2019-04-03","2019-04-04","00:00:00","2019/04/03","04","2","0"
"2019-04-03","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-04-03","2019-05-31","2019-06-03","00:00:00","","06","1","0"
